Ticker,Setor,SubSetor
A1MD34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
AALR3,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos
AAPL34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ABCB4,Intermediários Financeiros,Bancos
ABEV3,Bebidas,Cervejas e Refrigerantes
ACWI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ADBE34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
AERI3,Máquinas e Equipamentos,Máq. e Equip. Industriais
AESB3,Energia Elétrica,Energia Elétrica
AGRO3,Agropecuária,Agricultura
AIRB34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ALLD3,Comércio,Eletrodomésticos
ALPA4,"Tecidos, Vestuário e Calçados",Calçados
ALSO3,Exploração de Imóveis,Exploração de Imóveis
ALUP11,Energia Elétrica,Energia Elétrica
AMAR3,Comércio,"Tecidos, Vestuário e Calçados"
AMBP3,Água e Saneamento,Água e Saneamento
AMER3,Comércio,Produtos Diversos
AMZO34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
ANIM3,Diversos,Serviços Educacionais
APER3,Previdência e Seguros,Corretoras de Seguros
ARML3,Diversos,Aluguel de carros
ARZZ3,Comércio,"Tecidos, Vestuário e Calçados"
ASAI3,Comércio e Distribuição,Alimentos
AURA33,Mineração,Minerais Metálicos
AZEV4,Construção e Engenharia,Construção Pesada
AZUL4,Transporte,Transporte Aéreo
B1NT34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
B3SA3,Serviços Financeiros Diversos,Serviços Financeiros Diversos
BABA34,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BACW39,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BARI11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BBAS3,Intermediários Financeiros,Bancos
BBDC3,Intermediários Financeiros,Bancos
BBDC4,Intermediários Financeiros,Bancos
BBOV11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BBPO11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
BBRK3,Exploração de Imóveis,Intermediação Imobiliária
BBSE3,Previdência e Seguros,Seguradoras
BCFF11,ETFs/FIIs/BDRs,ETFs/FIIs/BDRs
